TITLU_RAPORT,ANEXA,COD_ORDONATOR,ORDONATOR,CAPITOL,SUBCAPITOL,PARAGRAF,GRUPA,ARTICOL,ALINEAT,DENUMIRE,PROGRAM_2025,ESTIMARI2026,ESTIMARI2027,ESTIMARI2028
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,01,,,I.Credite de angajament,76.452.195,74.682.763,75.696.020,77.842.018
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,01,,,II.Credite bugetare,76.969.552,74.715.308,75.928.565,77.994.284
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,10,,,TITLUL I CHELTUIELI DE PERSONAL,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,10,,,I.Credite de angajament,632.200,643.335,675.502,722.787
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,10,,,II.Credite bugetare,632.200,643.335,675.502,722.787
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,20,,,TITLUL II BUNURI SI SERVICII,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,20,,,I.Credite de angajament,357.025,380.134,399.993,420.185
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,20,,,II.Credite bugetare,355.319,378.393,398.218,418.374
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,40,,,TITLUL IV SUBVENTII,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,40,,,I.Credite de angajament,33.000,40.000,40.000,40.000
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,40,,,II.Credite bugetare,33.000,40.000,40.000,40.000
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,51,,,TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,51,,,I.Credite de angajament,1.172.184,1.276.650,1.319.715,1.360.157
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,51,,,II.Credite bugetare,1.172.184,1.276.650,1.319.715,1.360.157
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,55,,,TITLUL VII ALTE TRANSFERURI,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,55,,,I.Credite de angajament,8.000,7.263,7.462,7.620
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,55,,,II.Credite bugetare,8.000,7.263,7.462,7.620
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,56,,,TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,56,,,I.Credite de angajament,1.348.926,1.140.223,940.166,845.923
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,56,,,II.Credite bugetare,1.200.000,1.174.509,1.174.486,1.000.000
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,57,,,TITLUL IX ASISTENTA SOCIALA,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,57,,,I.Credite de angajament,72.316.942,70.834.782,72.131.668,74.263.623
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,57,,,II.Credite bugetare,72.216.942,70.834.782,72.131.668,74.263.623
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,58,,,TITLUL X PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE AFERENTE CADRULUI FINANCIAR 2014-2020 SI DIN FONDUL DE MODERNIZARE,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,58,,,I.Credite de angajament,100,200,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,58,,,II.Credite bugetare,100,200,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,59,,,TITLUL XI  ALTE CHELTUIELI,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,59,,,I.Credite de angajament,252.198,181.305,181.514,181.723
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,59,,,II.Credite bugetare,252.198,181.305,181.514,181.723
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,60,,,TITLUL XII PROIECTE CU FINANTARE DIN SUMELE REPREZENTAND ASISTENTA FINANCIARA NERAMBURSABILA AFERENTA PNRR,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,60,,,I.Credite de angajament,301.557,59.840,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,60,,,II.Credite bugetare,937.500,59.840,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,61,,,TITLUL XIII PROIECTE CU FINANTARE DIN SUMELE AFERENTE COMPONENTEI DE IMPRUMUT A PNRR,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,61,,,I.Credite de angajament,30.063,119.031,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,61,,,II.Credite bugetare,162.109,119.031,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,70,,,CHELTUIELI DE CAPITAL,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,70,,,I.Credite de angajament,30.223,15.050,10.510,5.050
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,70,,,II.Credite bugetare,15.223,15.050,15.510,15.050
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,71,,,TITLUL XV ACTIVE NEFINANCIARE,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,71,,,I.Credite de angajament,30.223,15.050,10.510,5.050
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,  ,  ,71,,,II.Credite bugetare,15.223,15.050,15.510,15.050
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,01,,,,, Administratie centrala,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,01,,,,,II.Credite bugetare,2.596.520,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,02,,,,, Servicii publice descentralizate,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,02,,,,,II.Credite bugetare,590.193,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,03,,,,, Pensii si ajutoare pentru batranete,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,03,,,,,II.Credite bugetare,34.907.293,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,05,,,,, Asistenta sociala in caz de boli si invaliditati,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,05,,,,,II.Credite bugetare,7.512.490,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,05,02,,,,  Asistenta sociala in caz de invaliditate,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,05,02,,,,II.Credite bugetare,7.512.490,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,06,,,,, Asistenta sociala pentru familie si copii,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,06,,,,,II.Credite bugetare,25.125.112,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,08,,,,," Ajutoare la trecerea in rezerva, retragere sau pensionare",,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,08,,,,,II.Credite bugetare,115.934,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,09,,,,, Ajutoare pentru urmasi,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,09,,,,,II.Credite bugetare,29.041,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,15,,,,, Prevenirea excluderii sociale,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,15,,,,,II.Credite bugetare,5.022.824,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,15,01,,,,  Ajutor social,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,15,01,,,,II.Credite bugetare,4.767.796,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,15,03,,,,  Centre de primire si cazare a persoanelor solicitante a statutului de refugiat,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,15,03,,,,II.Credite bugetare,10.992,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,15,50,,,,  Alte cheltuieli in domeniul prevenirii excluderii sociale,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,15,50,,,,II.Credite bugetare,244.036,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,50,,,,, Alte cheltuieli in domeniul asigurarilor si asistentei sociale,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,50,,,,,II.Credite bugetare,1.085.368,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,50,50,,,, Alte cheltuieli in domeniul asistentei sociale,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,6801,50,50,,,,II.Credite bugetare,1.085.368,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,,,,"Partea a IV-a SERVICII SI DEZVOLTARE PUBLICA, LOCUINTE, MEDIU SI APE",,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,,,,I.Credite de angajament,46.736.098,21.464.726,13.401.760,11.687.714
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,,,,II.Credite bugetare,22.471.434,18.941.409,19.690.161,18.091.808
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,01,,,CHELTUIELI CURENTE,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,01,,,I.Credite de angajament,44.326.798,21.187.317,13.120.355,11.407.127
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,01,,,II.Credite bugetare,22.124.534,18.662.227,19.411.946,17.814.566
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,10,,,TITLUL I CHELTUIELI DE PERSONAL,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,10,,,I.Credite de angajament,416.425,418.221,440.732,473.234
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,10,,,II.Credite bugetare,416.425,418.221,440.732,473.234
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,20,,,TITLUL II BUNURI SI SERVICII,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,20,,,I.Credite de angajament,52.380,51.900,52.400,53.400
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,20,,,II.Credite bugetare,52.380,51.900,52.400,53.400
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,30,,,TITLUL III DOBANZI,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,30,,,I.Credite de angajament,353,353,353,353
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,30,,,II.Credite bugetare,353,353,353,353
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,40,,,TITLUL IV SUBVENTII,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,40,,,I.Credite de angajament,378,389,399,407
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,40,,,II.Credite bugetare,378,389,399,407
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,51,,,TITLUL VI TRANSFERURI INTRE UNITATI ALE  ADMINISTRATIEI PUBLICE,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,51,,,I.Credite de angajament,25.814.658,9.516.596,4.052.492,3.452.896
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,51,,,II.Credite bugetare,13.197.183,8.274.975,9.448.909,8.097.242
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,55,,,TITLUL VII ALTE TRANSFERURI,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,55,,,I.Credite de angajament,3.852.500,6.249.073,6.250.074,6.251.029
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,55,,,II.Credite bugetare,2.547.500,2.106.777,2.161.286,2.204.517
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,56,,,TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,56,,,I.Credite de angajament,4.318.863,3.671.544,2.046.584,903.375
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,56,,,II.Credite bugetare,2.759.761,3.614.176,6.020.482,5.696.100
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,58,,,TITLUL X PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE AFERENTE CADRULUI FINANCIAR 2014-2020 SI DIN FONDUL DE MODERNIZARE,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,58,,,I.Credite de angajament,1.168.740,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,58,,,II.Credite bugetare,490.922,12.955,200,200
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,59,,,TITLUL XI  ALTE CHELTUIELI,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,59,,,I.Credite de angajament,20.956,19.000,19.000,19.000
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,59,,,II.Credite bugetare,20.956,19.000,19.000,19.000
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,60,,,TITLUL XII PROIECTE CU FINANTARE DIN SUMELE REPREZENTAND ASISTENTA FINANCIARA NERAMBURSABILA AFERENTA PNRR,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,60,,,I.Credite de angajament,1.803.168,256.142,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,60,,,II.Credite bugetare,1.250.676,1.130.848,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,61,,,TITLUL XIII PROIECTE CU FINANTARE DIN SUMELE AFERENTE COMPONENTEI DE IMPRUMUT A PNRR,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,61,,,I.Credite de angajament,5.984.281,713.396,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,61,,,II.Credite bugetare,1.000.000,2.792.821,1.000.000,1.000.000
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,65,,,TITLUL XIV CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,65,,,I.Credite de angajament,894.096,290.703,258.321,253.433
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,65,,,II.Credite bugetare,388.000,239.812,268.185,270.113
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,70,,,CHELTUIELI DE CAPITAL,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,70,,,I.Credite de angajament,2.406.800,276.127,280.090,279.245
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,70,,,II.Credite bugetare,344.400,277.900,276.900,275.900
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,71,,,TITLUL XV ACTIVE NEFINANCIARE,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,71,,,I.Credite de angajament,2.406.800,276.127,280.090,279.245
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,71,,,II.Credite bugetare,344.400,277.900,276.900,275.900
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,79,,,OPERATIUNI FINANCIARE,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,79,,,I.Credite de angajament,2.500,1.282,1.315,1.342
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,79,,,II.Credite bugetare,2.500,1.282,1.315,1.342
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,81,,,TITLUL XIX RAMBURSARI DE CREDITE,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,81,,,I.Credite de angajament,2.500,1.282,1.315,1.342
BUGETUL DE STAT,Anexa nr.1,00,Total,7000,01,  ,81,,,II.Credite bugetare,2.500,1.282,1.315,1.342
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,,,,,,"LOCUINTE, SERVICII SI DEZVOLTARE PUBLICA",,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,,,,,,I.Credite de angajament,32.983.949,16.184.524,10.763.561,10.107.240
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,,,,,,II.Credite bugetare,17.337.369,11.484.442,12.305.362,10.718.609
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,01,,,CHELTUIELI CURENTE,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,01,,,I.Credite de angajament,30.605.949,15.952.524,10.531.561,9.874.740
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,01,,,II.Credite bugetare,17.020.669,11.255.469,12.078.152,10.489.454
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,20,,,TITLUL II BUNURI SI SERVICII,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,20,,,I.Credite de angajament,9.680,9.900,9.900,9.900
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,20,,,II.Credite bugetare,9.680,9.900,9.900,9.900
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,40,,,TITLUL IV SUBVENTII,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,40,,,I.Credite de angajament,378,389,399,407
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,40,,,II.Credite bugetare,378,389,399,407
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,51,,,TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,51,,,I.Credite de angajament,25.374.000,9.361.486,4.011.000,3.411.000
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,51,,,II.Credite bugetare,13.149.000,8.219.151,9.407.417,8.055.346
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,55,,,TITLUL VII ALTE TRANSFERURI,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,55,,,I.Credite de angajament,3.805.500,6.200.046,6.200.046,6.200.000
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,55,,,II.Credite bugetare,2.500.500,2.057.750,2.111.258,2.153.488
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,56,,,TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,56,,,I.Credite de angajament,431.832,90.000,51.895,
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,56,,,II.Credite bugetare,871.904,715.512,280.793,
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,58,,,TITLUL X PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE AFERENTE CADRULUI FINANCIAR 2014-2020 SI DIN FONDUL DE MODERNIZARE,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,58,,,I.Credite de angajament,90.463,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,58,,,II.Credite bugetare,101.207,12.955,200,200
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,65,,,TITLUL XIV CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,65,,,I.Credite de angajament,894.096,290.703,258.321,253.433
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,65,,,II.Credite bugetare,388.000,239.812,268.185,270.113
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,70,,,CHELTUIELI DE CAPITAL,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,70,,,I.Credite de angajament,2.378.000,232.000,232.000,232.500
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,70,,,II.Credite bugetare,316.700,228.973,227.210,229.155
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,71,,,TITLUL XV ACTIVE NEFINANCIARE,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,71,,,I.Credite de angajament,2.378.000,232.000,232.000,232.500
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,  ,  ,71,,,II.Credite bugetare,316.700,228.973,227.210,229.155
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,03,,,,, Locuinte,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,03,,,,,II.Credite bugetare,5.302.278,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,03,01,,,,  Dezvoltarea sistemului de locuinte,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,03,01,,,,II.Credite bugetare,5.302.278,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,05,,,,, Alimentare cu apa si amenajari hidrotehnice,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,05,,,,,II.Credite bugetare,1.166.091,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,05,02,,,,  Amenajari hidrotehnice,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,05,02,,,,II.Credite bugetare,1.166.091,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,50,,,,," Alte servicii in domeniile locuintelor, serviciilor si dezvoltarii comunale",,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7001,50,,,,,II.Credite bugetare,10.869.000,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,,,,,,PROTECTIA MEDIULUI,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,,,,,,I.Credite de angajament,13.752.149,5.280.202,2.638.199,1.580.474
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,,,,,,II.Credite bugetare,5.134.065,7.456.967,7.384.799,7.373.199
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,01,,,CHELTUIELI CURENTE,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,01,,,I.Credite de angajament,13.720.849,5.234.793,2.588.794,1.532.387
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,01,,,II.Credite bugetare,5.103.865,7.406.758,7.333.794,7.325.112
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,10,,,TITLUL I CHELTUIELI DE PERSONAL,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,10,,,I.Credite de angajament,416.425,418.221,440.732,473.234
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,10,,,II.Credite bugetare,416.425,418.221,440.732,473.234
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,20,,,TITLUL II BUNURI SI SERVICII,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,20,,,I.Credite de angajament,42.700,42.000,42.500,43.500
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,20,,,II.Credite bugetare,42.700,42.000,42.500,43.500
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,30,,,TITLUL III DOBANZI,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,30,,,I.Credite de angajament,353,353,353,353
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,30,,,II.Credite bugetare,353,353,353,353
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,51,,,TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,51,,,I.Credite de angajament,440.658,155.110,41.492,41.896
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,51,,,II.Credite bugetare,48.183,55.824,41.492,41.896
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,55,,,TITLUL VII ALTE TRANSFERURI,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,55,,,I.Credite de angajament,47.000,49.027,50.028,51.029
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,55,,,II.Credite bugetare,47.000,49.027,50.028,51.029
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,56,,,TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,56,,,I.Credite de angajament,3.887.031,3.581.544,1.994.689,903.375
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,56,,,II.Credite bugetare,1.887.857,2.898.664,5.739.689,5.696.100
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,58,,,TITLUL X PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE AFERENTE CADRULUI FINANCIAR 2014-2020 SI DIN FONDUL DE MODERNIZARE,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,58,,,I.Credite de angajament,1.078.277,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,58,,,II.Credite bugetare,389.715,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,59,,,TITLUL XI  ALTE CHELTUIELI,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,59,,,I.Credite de angajament,20.956,19.000,19.000,19.000
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,59,,,II.Credite bugetare,20.956,19.000,19.000,19.000
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,60,,,TITLUL XII PROIECTE CU FINANTARE DIN SUMELE REPREZENTAND ASISTENTA FINANCIARA NERAMBURSABILA AFERENTA PNRR,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,60,,,I.Credite de angajament,1.803.168,256.142,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,60,,,II.Credite bugetare,1.250.676,1.130.848,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,61,,,TITLUL XIII PROIECTE CU FINANTARE DIN SUMELE AFERENTE COMPONENTEI DE IMPRUMUT A PNRR,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,61,,,I.Credite de angajament,5.984.281,713.396,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,61,,,II.Credite bugetare,1.000.000,2.792.821,1.000.000,1.000.000
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,70,,,CHELTUIELI DE CAPITAL,,,,
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,70,,,I.Credite de angajament,28.800,44.127,48.090,46.745
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,70,,,II.Credite bugetare,27.700,48.927,49.690,46.745
BUGETUL DE STAT,Anexa nr.1,00,Total,7401,  ,  ,71,,,TITLUL XV ACTIVE NEFINANCIARE,,,,
